Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
198,20.16,79.86582107,66.03977961,80.2108622,113.6621974,215.7645612,0.91,0
199,20.06,60.19612001,62.91755638,76.35666932,116.9420325,215.3528377,1.09,0
200,19.97,75.52252573,59.2054902,80.87864992,165.5685805,221.3819084,1.096092167,0
201,24.85048766,67.89233112,64.15002107,76.66714966,122.8685393,224.6315037,2.868127302,1
202,20.07655398,69.0327927,63.69013891,77.02380157,130.4329088,229.6961889,0.849965264,1
203,25.16395611,78.73605435,66.65319262,76.77995332,125.5614417,222.1445438,2.101501237,1
204,18.83835625,64.71271191,58.04175967,74.25846317,135.8243106,221.6538138,2.393034251,1
205,30.78950734,55.3962609,65.1005245,72.53103923,123.3276955,225.4226796,1.191983868,1
206,26.01595067,77.05375662,59.2054902,69.43113206,160.4286084,225.1698394,0.723766667,1
207,22.170686,97.62699106,59.42313388,85.42823529,171.4616001,224.3796723,1.063300833,1
208,31.44562197,61.97591053,59.27546251,85.42823529,151.3108768,228.6287756,1.307502971,1
209,22.94814904,55.36464301,63.00643189,67.9029513,142.8079382,267.6553498,0.157496234,1
210,27.15815338,66.44286775,59.2054902,65.13735869,181.374203,228.681962,2.356069027,1
211,23.9711777,63.72340407,65.1233931,88.97556154,122.71335,219.2630409,3.094646085,1
212,31.01879617,72.13268809,65.06600528,84.3107957,141.6534939,233.3616813,1.586686052,1
213,29.96154498,42.79281087,65.35864356,75.54855936,124.0134289,222.1260266,1.344222528,1
214,20.26507067,71.10169832,64.95325498,72.76119394,144.4068645,221.6566036,2.941797595,1
215,30.06386101,63.22255144,59.2054902,70.97615695,116.8807719,221.2240336,1.186319006,1
216,17.91,132.6167463,57.90725982,71.54688005,155.3240214,224.6630724,0.952953852,0
217,17.79,131.5959396,58.75162864,70.10170967,125.8135869,236.1686236,0.891676066,0
218,17.94,135.9612008,57.45154678,72.26998718,124.1758824,234.2053711,0.865401649,0
219,17.97,134.2270895,57.90000134,62.73619236,124.1758824,262.3115234,0.900610699,0
220,17.97,126.3363981,56.48665632,77.26218903,127.7354149,216.8375993,0.88059713,0
221,17.96,126.875645,58.58464669,73.85642666,146.1412504,223.8338524,0.876456393,0
222,17.37,121.1870976,58.79386011,73.31156807,148.3162997,228.9917899,0.904121842,0
223,21.84,118.7207073,56.77932585,66.90233067,119.8760282,238.8092949,0.902335997,0
224,21.66,117.7071285,59.2054902,66.98116147,148.3537665,254.654172,0.893939504,0
225,21.61,115.1430991,58.68583142,62.74091688,130.4841157,220.8100301,0.902498762,0
226,22.74,106.0978421,58.41694392,61.4615374,197.0374133,224.0817123,0.881632314,0
227,21.51,106.3955158,59.78208861,70.76376448,143.0759243,293.1250445,0.878181701,0
228,20.86,109.4523454,57.27490601,66.81710406,156.4592752,267.4772034,0.871280473,0
229,20.65,98.00851061,58.73666825,67.72864977,138.8837763,290.7488648,0.851424822,0
230,20.73,90.10549261,57.02991707,79.99623728,132.5530748,195.8149144,0.861988031,0
231,20.57,78.35592517,58.5850207,76.56092503,153.2252628,205.4848148,0.883291263,0
232,22.1,83.15984272,59.2054902,73.44083521,131.2040753,213.8131444,0.905614081,0
